hu034DB1-GS00253-DNA_A02	44041271944e2b5a7491110c5467ae1e+52880
hu034DB1-GS01669-DNA_A03	81dada861177f3ba3124cdc1f4cf4444+52868
hu03E3D2-GS03132-DNA_D01	1289158e484a8e1f6475a4e45eb49a61+52867
hu040C0A-GS01175-DNA_F05	66e1c4052192d609410806560ea18b11+52870
hu0486D6-GS03132-DNA_C01	c0dd8302821334417c8b56caa3f2d0df+52868
hu04DF3C-GS01670-DNA_A02	a97cddc90554050a309d8ad6ef77a1d6+52868
hu04F220-GS01670-DNA_A01	3bba0f496ced98b1063fbd3d09127c97+52866
hu04FD18-GS00253-DNA_F01	480f3c3d3528dbb7c871c7e19ec44a72+52886
hu050E9C-GS01173-DNA_G06	f9949ec533399b70fc140c8f0967f991+52882
hu05FD49-GS01175-DNA_D04	dac2b40d67fc71e42517db3397548dbb+52876
hu085B6D-GS03132-DNA_A01	aafb2274cf9b986ae41bebe506991277+52861
hu089792-GS02269-DNA_B02	796d442da9671adbc822e8cb58efee6b+52870
hu0A4518-GS01670-DNA_F01	27abb5dbc6bcb6c3128dafc061f3b01f+52871
hu0CF2EE-GS01175-DNA_F06	9cf15eb8a40b9d08b65b690b51804588+52876
hu0D1FA1-GS01669-DNA_G09	21358b31c157fe78deab3c967d02ad9a+52867
hu0D879F-GS00253-DNA_G01	c8b0650e7b7bcb0ae8d9173919eabcc2+52870
hu0D879F-GS01669-DNA_A08	3261144fbf1fa1e7780f2e0fefea8678+52870
hu0E64A1-GS01173-DNA_B02	c9837a714e5d85a57e4204fc1feef64a+52878
hu0E7AAF-GS03023-DNA_A01	bc6d1acc9e44860c2562391b3561804c+52863
hu1187FF-GS02269-DNA_A04	84e65fd2c3d9a5f5b36f3496c102c771+52864
hu132B5C-GS01670-DNA_E01	750030ceff0b7a34415c41c8c446d4e6+52866
hu1378E3-GS01669-DNA_C03	762a5c51db33bdc17bd8261eba5828ec+52878
hu15FECA-GS01175-DNA_F03	e2281cf87f98c4277b311b9c60bc50ef+52875
hu1904EC-GS01175-DNA_E06	c0c2f6d20c3cf190b2eeab7e20b29ccc+52868
hu19C09F-GS01669-DNA_F05	560262ade70ce74e93c1c560e8e1a594+52876
hu1E868D-GS03166-DNA_C02	acde916180c3ef6dd9145fa3a1481db3+52819
hu1F73AB-GS01669-DNA_B07	dfde4964504bc31aedefaa0d13c42076+52865
hu241DEA-GS01175-DNA_D05	b65b294e767054e528f7e7b812cacb1f+52873
hu24A473-GS03132-DNA_F01	c6c4ae1a506a206bdbe8edafc28a7468+52860
hu24C863-GS01670-DNA_B02	48bea3714fceea61ae9be274152f000b+52866
hu259AC7-GS01175-DNA_A05	b8d27d217c5350a8701642f15266c4e3+52882
hu26B551-GS01175-DNA_F04	a42caa558116a8ad80c55fcc3741a6b4+52867
hu27FD1F-GS02269-DNA_B04	281d8d5580adfbffbafcd1b8053cc5f5+52869
hu2843C9-GS01669-DNA_D05	28c5386a64e78ec6477b66094ec6f956+52872
hu297562-GS01669-DNA_H01	9b2305eb2cd8eb2e23d4532d3e8b2dca+52876
hu2C1D94-GS01175-DNA_H02	9bae03db4bb1ba9b0e36e4335af2f343+52876
hu2D6140-GS01173-DNA_F06	98d8f7ec89934c2e4a943da13127f785+52872
hu2DBF2D-GS01173-DNA_G02	b5c0896ee879b06a86ff58eb5dbc2a2d+52875
hu2FEC01-GS01175-DNA_E03	a1478ce4d135336af24aba3c6519191f+52878
hu3073E3-GS01239-DNA_D02	3399c2eb72f2d23361fc79fb171fc688+52872
hu33E2D9-GS01669-DNA_G10	70ca04876bb51b195c58c98398b57af4+52871
hu342A08-GS01175-DNA_B05	768cc7841f3212134f7cda80e8497805+52873
hu34D5B9-GS01173-DNA_C07	7496df27ee8a83da6416a4a361d00da1+52874
hu34D5B9-GS01670-DNA_E02	e5f4a974b3cd384ae8958ef702a2c0b5+52870
hu38168C-GS01173-DNA_H06	abb6bc6268a9a75bda8e331115a12b15+52868
hu3A1B15-GS02269-DNA_C01	dbf7460cb2c9bd272568ae73c750f6aa+52873
hu3A8D13-GS01669-DNA_E11	9bd509e13ac4db03583a3ec744d259a2+52870
hu3C0611-GS01669-DNA_E08	bb74189f2167c2d7eeac198d8f98be77+52865
hu3CAB43-GS01175-DNA_D03	6b6dd62d8247ab2bcb161020dd61725f+52877
hu3DC5EA-GS03184-DNA_F01	915f6a9a76ef30e689f9a7716a9c2d15+52858
hu3F864B-GS01669-DNA_F08	03b9be9cb7e8921071fc60c25810a7f5+52868
hu4040B8-GS01175-DNA_D01	463e383838056563e0a4646732f9c576+52878
hu42B622-GS03387-DNA_A03	c87e2fadc5a52c6267dd213a0a2af06d+52864
hu42D651-GS01669-DNA_G03	5e6e51b133067ff6a6cd0c4b007d0853+52874
hu432EB5-GS01670-DNA_F02	28d3a8d893605564d6cff31ed3fa058e+52870
hu4339C0-GS01175-DNA_H01	20d72421a19ef002ae3235ee73157fbd+52880
hu43860C-GS00253-DNA_A01	a0e85cd538bdfdd64a21038ea50ef348+52880
hu448C4B-GS01669-DNA_E07	937b8a5a5598f50cb71aff4caf38ae80+52876
hu44DCFF-GS01669-DNA_C07	c5f1d844d8a9e274d65f3b0de0bafbe4+52875
hu470099-GS01175-DNA_G06	e56fb369d94362be82087b0b4383c798+52876
hu474789-GS02269-DNA_G04	8382c921cfa01a316dee0917ea7c8cda+52874
hu48C4EB-GS01239-DNA_D01	ae6127403057015ec59cd32c3a2015b4+52869
hu49F623-GS02269-DNA_F01	b551ddfe5398a704481c141cccde026c+52883
hu4B0812-GS01669-DNA_A11	fdcedbc762f24070d36159a9ccae26c0+52871
hu4BE6F2-GS01669-DNA_A06	4bea1097d0bae98ae54314871167ce59+52873
hu4BF398-GS01175-DNA_A06	34a40b322f0f115afce162b25be75166+52870
hu4CA5B9-GS01669-DNA_B03	f87283eb1e7eec55c4bbf6cf40a106f7+52877
hu4FE0D1-GS01669-DNA_G04	c621707848e9717ddaaaddbc06ed1dae+52877
hu52B7E5-GS01669-DNA_H04	c9b205a847b1325c2926d2b96651cde1+52863
hu52F345-GS01669-DNA_G07	26af002337ed41dea4d3c564108c6592+52871
hu553620-GS01669-DNA_B08	2efe5e8a6b6e7ad260264d14053342ff+52872
hu566AA7-GS03274-DNA_H01	a2609ea10a9fac7989f477aab3622e70+52865
hu57A769-GS01669-DNA_C08	52827149e8941452d52ae0cf6788aaa9+52869
hu589D0B-GS01669-DNA_H11	d95d1569c3c30bf80374d9cacc947749+52873
hu5962F5-GS03166-DNA_C01	bfd3b00786c7490d2b0de47d08d6dbe0+52867
hu599905-GS01670-DNA_H01	efa4701a780be046ebbf2eeb6cd895de+52868
hu5B8771-GS02269-DNA_B01	3ef6969f311e04dbd44eaa5556e3b6bb+52873
hu5CD2C6-GS01669-DNA_F04	529274a38775b9fc8f79e7a80dee02f6+52868
hu5E55F5-GS02269-DNA_B03	8a04e41da4e3ef67fa4bb0c81389c865+52870
hu5FA322-GS01669-DNA_E06	d116ab784a4aa79923e4864f370aa34e+52867
hu5FB1B9-GS01669-DNA_C06	2f67ac9b2d39f46b8ea9804d498d25cb+52873
hu5FCE15-GS01195-DNA_B01	6edf86fc733024a4520a449e6fda13fd+52873
hu60180F-GS01175-DNA_B06	139d8bdad1fd5329a219f76ebf86065f+52876
hu602487-GS02269-DNA_F02	0c84321507e90461acec3701f20519b6+52869
hu604D39-GS00253-DNA_B02	6d6106ca53a48123b7b9f17684a6f10b+52898
hu60AB7C-GS01670-DNA_D01	06a1daea0aff1343b2f004993f1976c6+52870
hu619F51-GS01669-DNA_B02	a895e3642774c7a1930e9de5935d2ab5+52871
